preco;quartos;suites;vagas;area;bairro;tipo;cidade
300000;3;1;2;150;Cassino;Casa;rio grande
150000;2;0;1;70;Vila Maria Jose;Casa;rio grande
149900;2;0;1;49;Vila Sao Joao;Apartamento;rio grande
350000;2;1;0;100;Cassino;Casa;rio grande
1200000;2;0;1;100;Centro;Casa;rio grande
250000;3;0;2;85;Cassino;Casa;rio grande
245000;2;0;1;70;Cidade Nova;Apartamento;rio grande
108000;1;0;0;33;Centro;Apartamento;rio grande
130000;2;0;1;88;Quinta;Casa;rio grande
170000;2;0;0;49;Carreiros;Casa;rio grande
170000;2;0;0;57;COHAB I;Casa;rio grande
320000;2;0;0;100;Centro;Apartamento;rio grande
420000;3;0;2;100;Parque Marinha;Casa;rio grande
250000;3;0;1;55;Vila Juncao;Apartamento;rio grande
150000;;0;0;400;Bolaxa;Terreno;rio grande
310000;1;1;1;22;Centro;Flat;rio grande
310000;1;1;1;22;Centro;Flat;rio grande
320000;4;1;2;158;Cidade Nova;Casa;rio grande
300000;3;1;2;150;Cassino;Casa;rio grande
440000;2;1;2;69;Centro;Apartamento;rio grande
180000;2;0;0;75;Parque Marinha;Casa;rio grande
770000;3;1;2;300;Cassino;Casa;rio grande
790000;3;1;3;250;Cassino;Casa;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
320000;4;2;0;228;Bolaxa;Casa;rio grande
105000;;0;0;270;Cassino;Terreno;rio grande
250000;2;1;1;90;Cassino;Casa;rio grande
398000;1;0;0;51;Cassino;Apartamento;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
300000;3;0;1;120;Parque Residencial Salgado Filho;Casa;rio grande
475000;2;1;1;100;Cidade Nova;Apartamento;rio grande
2000000;;0;0;270;Centro;Terreno;rio grande
280000;2;1;2;188;Cassino;Casa;rio grande
800000;3;1;4;277;Cidade Nova;Casa;rio grande
530000;3;1;3;180;Cassino;Casa;rio grande
950000;3;2;4;500;Carreiros;Casa;rio grande
150000;;0;0;270;Bolaxa;Terreno;rio grande
345000;3;0;1;101;Cidade Nova;Apartamento;rio grande
225000;;0;2;36;Centro;Conjunto;rio grande
400000;2;0;4;180;Cidade Nova;Casa;rio grande
318000;1;0;0;66;Parque;Apartamento;rio grande
215000;2;0;1;52;Lagoa;Casa;rio grande
580000;3;2;1;158;Centro;Apartamento;rio grande
200000;3;0;1;163;Vila Santa Rosa;Casa;rio grande
200000;2;0;0;175;Quinta;Casa;rio grande
305000;2;0;0;80;Centro;Apartamento;rio grande
450000;3;1;2;286;Vila Nossa Senhora dos Navegantes;Casa;rio grande
250000;3;0;0;72;Cassino;Casa;rio grande
480000;4;1;1;90;Centro;Casa;rio grande
530000;;0;0;500;Cassino;Terreno;rio grande
400000;2;0;0;250;Cassino;Casa;rio grande
395000;2;1;0;81;Centro;Apartamento;rio grande
560000;3;1;1;107;Centro;Apartamento;rio grande
1200000;;0;0;2400;Carreiros;Terreno;rio grande
250000;1;0;4;83;Cassino;Casa;rio grande
430000;3;0;1;120;Cassino;Casa;rio grande
10000000;;0;0;1105000;Parque Marinha;Terreno;rio grande
430000;3;1;0;350;Cassino;Casa;rio grande
560000;3;1;2;120;Parque;Apartamento;rio grande
600000;3;1;0;99;Centro;Apartamento;rio grande
220000;;0;0;60;Centro;Conjunto;rio grande
355000;2;1;1;73;Cidade Nova;Apartamento;rio grande
180000;1;0;0;80;Centro;Apartamento;rio grande
170000;;0;0;40;Centro;Conjunto;rio grande
200000;;0;0;296;Cassino;Terreno;rio grande
220000;2;0;0;70;Centro;Apartamento;rio grande
1500000;3;1;4;350;Cassino;Casa;rio grande
195000;1;0;1;50;Cassino;Apartamento;rio grande
255000;2;0;1;70;Cassino;Apartamento;rio grande
255000;1;0;1;52;Cidade Nova;Apartamento;rio grande
190000;;0;0;250;Cassino;Terreno;rio grande
260000;2;0;0;80;Cassino;Casa;rio grande
490000;2;2;0;1;Cassino;Casa;rio grande
250000;1;0;4;60;Cassino;Casa;rio grande
590000;2;1;1;101;Cassino;Apartamento;rio grande
125000;1;0;0;90;Vila Nossa Senhora dos Navegantes;Conjunto;rio grande
350000;2;1;0;72;Cidade Nova;Apartamento;rio grande
210000;2;0;0;68;Centro;Apartamento;rio grande
370407;2;1;2;76;Cassino;Apartamento;rio grande
425093;2;1;1;86;Cassino;Apartamento;rio grande
530000;4;4;4;305;Cassino;Apartamento;rio grande
542198;2;1;2;110;Cassino;Apartamento;rio grande
542198;2;1;2;110;Cassino;Apartamento;rio grande
542198;2;0;2;110;Cassino;Apartamento;rio grande
380000;3;0;2;200;Cassino;Casa;rio grande
600000;2;0;0;100;Cassino;Apartamento;rio grande
290000;1;1;1;80;Bolaxa;Casa;rio grande
470000;3;0;0;360;Cassino;Casa;rio grande
310000;1;1;1;22;Centro;Flat;rio grande
450000;3;2;1;116;Centro;Apartamento;rio grande
310000;1;0;1;52;Cidade Nova;Apartamento;rio grande
380000;2;0;5;70;Cassino;Casa;rio grande
220000;2;0;0;80;Centro;Casa;rio grande
542198;2;1;2;110;Cassino;Apartamento;rio grande
750000;3;0;3;170;Cassino;Casa;rio grande
135000;2;0;0;42;Lagoa;Apartamento;rio grande
140000;2;0;1;42;Lagoa;Apartamento;rio grande
381600;3;0;2;236;Cassino;Casa;rio grande
95000;;0;0;200;Parque Residencial Sao Pedro;Terreno;rio grande
170000;2;0;1;40;Vila Juncao;Apartamento;rio grande
245000;3;0;0;76;Vila Maria Jose;Apartamento;rio grande
240000;2;0;2;60;Cassino;Casa;rio grande
432250;2;1;1;117;Cassino;Apartamento;rio grande
170000;2;0;1;61;Cassino;Casa;rio grande
300000;2;0;1;85;Cassino;Casa;rio grande
1200000;;0;0;2400;Carreiros;Terreno;rio grande
4000000;;0;0;10800;Zona Portuaria;Predio;rio grande
350000;3;0;0;90;Centro;Apartamento;rio grande
380000;2;0;3;70;Cassino;Casa;rio grande
70000;;0;0;200;Parque Residencial Jardim do Sol;Terreno;rio grande
550000;3;1;3;194;Cassino;Casa;rio grande
155000;2;0;0;48;Getulio Vargas;Apartamento;rio grande
450000;4;0;0;375;Cassino;Casa;rio grande
110000;2;0;2;80;Cidade de Agueda;Casa;rio grande
190000;3;0;0;70;Cassino;Casa;rio grande
530000;3;1;2;160;Cassino;Casa;rio grande
500000;3;0;2;260;Cassino;Casa;rio grande
750000;3;1;2;200;Centro;Apartamento;rio grande
196100;2;0;1;50;Parque Marinha;Casa;rio grande
689000;6;0;6;242;Cidade Nova;Casa;rio grande
340000;2;0;1;75;Vila Juncao;Apartamento;rio grande
250000;2;0;0;73;Cassino;Casa;rio grande
300000;2;1;0;100;Cassino;Casa;rio grande
240000;2;0;1;52;Cassino;Apartamento;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
350000;3;0;2;180;Cassino;Casa;rio grande
378000;1;0;0;54;Cassino;Apartamento;rio grande
54000;;0;0;1050;Centro;Terreno;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
192000;1;0;0;42;Centro;Apartamento;rio grande
300000;2;1;1;66;Centro;Apartamento;rio grande
300000;1;0;0;55;Cassino;Apartamento;rio grande
380000;2;1;1;76;Centro;Apartamento;rio grande
400000;2;1;0;67;Centro;Apartamento;rio grande
440000;2;1;1;69;Cassino;Apartamento;rio grande
310000;1;1;1;22;Centro;Flat;rio grande
450000;2;1;1;76;Cassino;Apartamento;rio grande
170000;2;0;1;56;Cassino;Casa;rio grande
138000;;0;0;300;Cassino;Terreno;rio grande
159000;;0;0;400;Bolaxa;Terreno;rio grande
212000;;0;0;800;Vila Nossa Senhora de Fatima;Terreno;rio grande
371000;2;0;1;112;Lagoa;Apartamento;rio grande
1249000;3;1;2;215;Cassino;Apartamento;rio grande
450000;4;1;3;132;Cassino;Casa;rio grande
250000;1;0;0;100;Cassino;Casa;rio grande
509000;2;1;1;94;Cassino;Apartamento;rio grande
250000;2;0;2;65;Cassino;Casa;rio grande
720000;3;2;1;94;Cassino;Apartamento;rio grande
490000;3;1;2;160;Cassino;Casa;rio grande
530000;2;1;1;130;Cassino;Casa;rio grande
350000;3;1;0;100;Cassino;Casa;rio grande
350000;3;1;0;100;Cassino;Casa;rio grande
320000;2;0;1;184;Lar Gaucho;Casa;rio grande
1355000;4;2;2;231;Cassino;Apartamento;rio grande
583000;3;0;3;220;Cassino;Casa;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
310000;1;1;1;23;Centro;Flat;rio grande
530000;;0;0;120;Quinta;Terreno;rio grande
250000;3;0;2;70;Cassino;Casa;rio grande
795000;2;1;2;152;Centro;Apartamento;rio grande
500000;3;1;0;85;Centro;Apartamento;rio grande
334000;2;0;1;80;Cassino;Casa;rio grande
100000;;0;0;420;Vila Sao Joao;Terreno;rio grande
160000;;0;0;300;Cassino;Terreno;rio grande
180000;3;0;2;75;Cassino;Casa;rio grande
5800000;;0;0;2100;Vila Maria Jose;Hotel;rio grande
240000;2;0;2;85;Cidade Nova;Apartamento;rio grande
159000;;0;0;270;Cassino;Terreno;rio grande
1000000;4;2;0;300;Cassino;Apartamento;rio grande
500000;3;0;1;101;Centro;Apartamento;rio grande
285000;;0;0;450;Centro;Terreno;rio grande
1600000;;0;0;1755;Centro;Terreno;rio grande
225000;2;0;1;65;Parque Guanabara;Casa;rio grande
350000;2;1;0;68;Cassino;Casa;rio grande
300000;1;0;0;60;Cassino;Apartamento;rio grande
150000;;0;0;300;Cassino;Terreno;rio grande
370000;2;0;1;62;Centro;Casa;rio grande
297000;2;0;1;100;Cassino;Casa;rio grande
320000;2;0;1;63;Centro;Apartamento;rio grande
430000;2;1;2;130;Cassino;Casa;rio grande
742000;3;0;1;151;Cassino;Apartamento;rio grande
4500000;6;5;0;9600;Parque Residencial Jardim do Sol;Terreno;rio grande
160000;2;0;1;47;Carreiros;Apartamento;rio grande
170000;2;0;1;41;Sao Paulo;Apartamento;rio grande
180000;2;0;0;41;Centro;Apartamento;rio grande
1064000;5;1;0;200;Parque Marinha;Sitio;rio grande
390000;4;0;0;150;Cassino;Casa;rio grande
640000;4;1;2;200;Cidade Nova;Apartamento;rio grande
837400;4;0;4;330;Cassino;Casa;rio grande
371000;2;0;1;64;Cassino;Apartamento;rio grande
250000;1;0;0;27;Cassino;Apartamento;rio grande
780000;3;1;0;201;Centro;Casa;rio grande
420000;;0;0;140;Centro;Loja/Salao;rio grande
225000;3;1;1;160;Cassino;Casa;rio grande
690000;2;0;1;95;Cassino;Apartamento;rio grande
200000;1;0;1;38;Centro;Apartamento;rio grande
400000;2;1;1;80;Centro;Apartamento;rio grande
135000;2;0;0;70;Vila Sao Joao;Casa;rio grande
